"['title']","['url']","['createdAt']","['closedAt']"
"validate exit code should be 1 on error","https://github.com/liquibase/liquibase/issues/1006","2020-2/25","2021-11/15"
"TEST - create an issue in Jira","https://github.com/liquibase/liquibase/issues/1007","2020-2/25","2020-3/3"
"test - issue created in github","https://github.com/liquibase/liquibase/issues/1008","2020-2/25","2020-3/3"
"Postgres SERIAL and BIGSERIAL are created as INT / BIGINT without auto increment","https://github.com/liquibase/liquibase/issues/1009","2020-2/26","2022-5/23"
"Postgres smallint syntax error","https://github.com/liquibase/liquibase/issues/1015","2020-3/4","2021-11/18"
"diffChangeLog not considering order of operations correctly","https://github.com/liquibase/liquibase/issues/1016","2020-3/4","2021-12/22"
"RFC: syntax validation","https://github.com/liquibase/liquibase/issues/1017","2020-3/4","null"
"generateChangelog with CockroachDB: createTable should also create PrimaryKey columns","https://github.com/liquibase/liquibase/issues/1021","2020-3/5","2020-5/26"
"generateChangelog with CockroachDB: addForeignKeyConstraint must have correct column order","https://github.com/liquibase/liquibase/issues/1022","2020-3/5","2020-5/26"
"How to disable dynamic substitution of parameters in a changelog?","https://github.com/liquibase/liquibase/issues/1023","2020-3/6","2020-11/12"
"Postgres jsonb default is not quoted","https://github.com/liquibase/liquibase/issues/1028","2020-3/6","2022-5/23"
"For the includeAll tag, ""Not a valid resource entry"" is written","https://github.com/liquibase/liquibase/issues/1029","2020-3/9","2020-7/17"
"Rollback is broken","https://github.com/liquibase/liquibase/issues/1030","2020-3/11","2021-12/21"
"Derby reserved keywords is incorrect","https://github.com/liquibase/liquibase/issues/1031","2020-3/11","2022-7/26"
"[regression] Liquibase has started to produce debug logs","https://github.com/liquibase/liquibase/issues/1035","2020-3/14","2020-5/21"
"DatabaseChangeLogLock race condition exists if two nodes both try to create the table on ORACLE","https://github.com/liquibase/liquibase/issues/1036","2020-3/16","null"
"Liquibase schema XSD 3.5 not working since the last hour","https://github.com/liquibase/liquibase/issues/1038","2020-3/16","2020-5/18"
"[3.8.x] CreateSequence fails on Postgres <9.4 due to IF NOT PRESENT","https://github.com/liquibase/liquibase/issues/1039","2020-3/17","2020-7/2"
"CreateViewGenerator generates incorrect SQL for PostgreSQL","https://github.com/liquibase/liquibase/issues/1042","2020-3/18","null"
"Out of memory when launching liquibase command “dropAllForeignKey”","https://github.com/liquibase/liquibase/issues/1043","2020-3/19","null"
"Periodically can't parse precondition onFail property","https://github.com/liquibase/liquibase/issues/1047","2020-3/21","2022-8/10"
"Ant task and CLI produce different changeset digests","https://github.com/liquibase/liquibase/issues/1048","2020-3/22","2022-5/23"
"liquibase:update is dropping databasechangeloglock","https://github.com/liquibase/liquibase/issues/1050","2020-3/24","null"
"liquibase-core.jar contains ServiceLoader files","https://github.com/liquibase/liquibase/issues/1051","2020-3/24","2020-7/1"
"Liquibase.listUnrunChangeSets is executing DDL statement","https://github.com/liquibase/liquibase/issues/1052","2020-3/24","2022-5/23"
"addNotNullConstraint causes ""Data too long"" Exception for BIT(1) fields","https://github.com/liquibase/liquibase/issues/1054","2020-3/25","2021-12/23"
"Could I separate sql statements in DDL and DML?","https://github.com/liquibase/liquibase/issues/1055","2020-3/25","2020-5/13"
"Allow adding multiple unique column constraints on table creation.","https://github.com/liquibase/liquibase/issues/1056","2020-3/26","null"
"tagExists command not available with Maven Plugin","https://github.com/liquibase/liquibase/issues/1063","2020-3/30","null"
"ChangeLog properties interpolation in sql file not working","https://github.com/liquibase/liquibase/issues/1065","2020-3/31","2021-12/21"
"addNotNullConstraint / dropNotNullConstraint not supported on Firebird","https://github.com/liquibase/liquibase/issues/1066","2020-3/31","2020-6/5"
"constraint_name for PostgreSQL is not quoted","https://github.com/liquibase/liquibase/issues/1068","2020-3/31","2022-5/23"
"Security issue in Liquibase Runner plugin is preventing it from being used by Jenkins","https://github.com/liquibase/liquibase/issues/1069","2020-3/31","2020-6/4"
"I shouldnt need a db connection to run <command>--help","https://github.com/liquibase/liquibase/issues/1070","2020-4/1","2020-6/19"
"Postgres: Incorrect dependency ordering of trigger, function, and table in generated changelog.","https://github.com/liquibase/liquibase/issues/1071","2020-4/1","2020-4/3"
"Liquibase: standardize --schemas usage for snapshot command to either side of command","https://github.com/liquibase/liquibase/issues/1072","2020-4/1","2020-4/3"
"dataOutputDirectory will not be generated if the flag diffTypes is not used","https://github.com/liquibase/liquibase/issues/1073","2020-4/1","2020-4/3"
"liquibase generateChangeLog creates SMALLINT(5) column instead of SMALLINT on PostgreSQL","https://github.com/liquibase/liquibase/issues/1074","2020-4/1","2020-4/3"
"MMMA: XSD validation not happening for attributes on createProcedure.","https://github.com/liquibase/liquibase/issues/1076","2020-4/2","2020-6/4"
"Separate Firebird v3 from earlier Firebird versions","https://github.com/liquibase/liquibase/issues/1077","2020-4/3","null"
"Feature: Implement ""revert"" (or ""reverse"") block","https://github.com/liquibase/liquibase/issues/1080","2020-4/4","null"
"Don't use v$session in Oracle as the SELECT grant on this view is not usually available to any user","https://github.com/liquibase/liquibase/issues/1081","2020-4/6","2020-11/17"
"Regression: Unique constraint name is ignored when adding a column","https://github.com/liquibase/liquibase/issues/1083","2020-4/7","2020-10/5"
"Liquibase falsely deploy sqlFile changeSets when specifying an unrecognized DB name in the ""dbms"" attribute","https://github.com/liquibase/liquibase/issues/1084","2020-4/8","2022-1/26"
"Invalid type generated for SMALLINT type column in Postgresql 11","https://github.com/liquibase/liquibase/issues/1085","2020-4/8","2020-4/9"
