createdAt,closedAt,title,url
2018-8/13,2018-8/13,chk keys not returning anything ,https://github.com/RfidResearchGroup/proxmark3/issues/1
2018-8/14,2018-9/16,lf t55xx detect failing IF t55 is set to EM modulation,https://github.com/RfidResearchGroup/proxmark3/issues/3
2018-8/14,2018-8/15,MacOS Install Instructions,https://github.com/RfidResearchGroup/proxmark3/issues/4
2018-8/15,2018-9/6,LF StandAlone mode is broken. Field active but no tag read,https://github.com/RfidResearchGroup/proxmark3/issues/5
2018-8/15,2018-8/17,Bug and partial Fix - update.sh for OS X users,https://github.com/RfidResearchGroup/proxmark3/issues/6
2018-8/16,2019-9/8,hf iclass chk - need for default keys,https://github.com/RfidResearchGroup/proxmark3/issues/8
2018-8/17,2018-8/24,Creation of symlink for OS X - location ?,https://github.com/RfidResearchGroup/proxmark3/issues/12
2018-8/17,2018-8/17,iClass chk seems to be broken,https://github.com/RfidResearchGroup/proxmark3/issues/14
2018-8/23,2018-11/11,Consider recreating repo as a fork of iceman1001/proxmark3,https://github.com/RfidResearchGroup/proxmark3/issues/18
2018-8/29,2018-8/29,"LF broken - not rdv4 specific, all hardware. ",https://github.com/RfidResearchGroup/proxmark3/issues/19
2018-9/6,2018-9/13,EM Marine card read is broken,https://github.com/RfidResearchGroup/proxmark3/issues/26
2018-9/7,2018-9/8,Unable to build on MacOS,https://github.com/RfidResearchGroup/proxmark3/issues/28
2018-9/13,2019-1/6,i2c  potential hang issue,https://github.com/RfidResearchGroup/proxmark3/issues/29
2018-9/14,2018-9/18,No USB connection after update,https://github.com/RfidResearchGroup/proxmark3/issues/30
2018-9/15,2018-9/15,Compile Errors with latest pull,https://github.com/RfidResearchGroup/proxmark3/issues/31
2018-10/14,2018-10/28,Request new standalone mode to sniff and save the record on flash if possible,https://github.com/RfidResearchGroup/proxmark3/issues/34
2018-10/21,2018-10/22,Broken Proxmark3 Rv4.0 after initial flash (Kickstarter Edition),https://github.com/RfidResearchGroup/proxmark3/issues/35
2018-10/22,2018-10/22,Mess with information about proxmark3 rdv40 ,https://github.com/RfidResearchGroup/proxmark3/issues/38
2018-10/27,nan,[idea] Emulate a smart card over simcard module.,https://github.com/RfidResearchGroup/proxmark3/issues/43
2018-11/3,2018-11/5,hf mf hardnested.. broken?,https://github.com/RfidResearchGroup/proxmark3/issues/46
2018-11/8,2018-11/14,get rid of polarssl/des.c,https://github.com/RfidResearchGroup/proxmark3/issues/49
2018-11/11,2018-11/12,hf mf cload,https://github.com/RfidResearchGroup/proxmark3/issues/51
2018-11/19,2018-11/20,How to unbrick rdv4?,https://github.com/RfidResearchGroup/proxmark3/issues/56
2018-11/29,2018-11/29,compiler errors ,https://github.com/RfidResearchGroup/proxmark3/issues/61
2018-11/30,2018-12/16,HF Antenna Unusable,https://github.com/RfidResearchGroup/proxmark3/issues/63
2018-12/4,2018-12/21,#db# unknown command:: 0xd32d410d,https://github.com/RfidResearchGroup/proxmark3/issues/66
2019-1/1,2019-1/1,hf snoop looks like unusable.,https://github.com/RfidResearchGroup/proxmark3/issues/77
2019-1/11,2020-10/6,[idea] Recovery of ECDSA keys,https://github.com/RfidResearchGroup/proxmark3/issues/82
2019-1/11,2019-1/25,hf legic sim / Legic Simulation does not work properly,https://github.com/RfidResearchGroup/proxmark3/issues/83
2019-1/23,2019-1/27,Compiling issue for RDV20 target board,https://github.com/RfidResearchGroup/proxmark3/issues/85
2019-2/9,2019-2/15,Power up my RDV4 by a smartphone USB/OTG ,https://github.com/RfidResearchGroup/proxmark3/issues/91
2019-2/23,2019-2/24,Possible double free,https://github.com/RfidResearchGroup/proxmark3/issues/100
2019-3/1,2019-3/7,PIN of sim card,https://github.com/RfidResearchGroup/proxmark3/issues/104
2019-3/1,2019-3/1,Reader Attack,https://github.com/RfidResearchGroup/proxmark3/issues/105
2019-3/7,2019-3/10,LF FSK demodulation of strong / clipped signals ,https://github.com/RfidResearchGroup/proxmark3/issues/118
2019-3/7,2021-4/2,[idea] link in amiibo tool software,https://github.com/RfidResearchGroup/proxmark3/issues/119
2019-3/7,nan,[idea] megamos / aut64,https://github.com/RfidResearchGroup/proxmark3/issues/120
2019-3/7,nan,[idea] script run iclass_autopwn,https://github.com/RfidResearchGroup/proxmark3/issues/121
2019-3/9,2019-3/9,lf visa read ,https://github.com/RfidResearchGroup/proxmark3/issues/123
2019-3/10,nan,LF HITAG - fails ,https://github.com/RfidResearchGroup/proxmark3/issues/124
2019-3/10,2019-3/12,[idea] hf 14b raw  - add timeout,https://github.com/RfidResearchGroup/proxmark3/issues/125
2019-3/10,2020-7/13,hf 15: possible truncations,https://github.com/RfidResearchGroup/proxmark3/issues/126
2019-3/10,2019-3/11,SIM: ATR wrongly captured,https://github.com/RfidResearchGroup/proxmark3/issues/127
2019-3/10,2019-4/17,[Mifare] hf mf sim ,https://github.com/RfidResearchGroup/proxmark3/issues/128
2019-3/10,nan,[idea] implement json/eml/bin everywhere,https://github.com/RfidResearchGroup/proxmark3/issues/129
2019-3/10,2019-3/10,[question] compatible with origial proxmark3,https://github.com/RfidResearchGroup/proxmark3/issues/130
2019-3/11,2019-3/11,make style,https://github.com/RfidResearchGroup/proxmark3/issues/132
2019-3/11,2020-1/14,[idea] Mifare Classic with fixed nonce,https://github.com/RfidResearchGroup/proxmark3/issues/133
2019-3/12,2019-3/28,make style - CRLF convertion,https://github.com/RfidResearchGroup/proxmark3/issues/134
2019-3/16,2019-7/17,EMV with contactless card: fail + unresponsive + no typeB,https://github.com/RfidResearchGroup/proxmark3/issues/135
2019-3/18,2020-9/6,[idea] Ignore BCC errors in select iso1443a tags process,https://github.com/RfidResearchGroup/proxmark3/issues/138
2019-3/18,2019-4/9,[hf mf hardnested] loop bug in PartialSumProperty function,https://github.com/RfidResearchGroup/proxmark3/issues/139
2019-3/19,2019-3/19,Typo in project description,https://github.com/RfidResearchGroup/proxmark3/issues/140
2019-3/19,2019-8/28,[idea] Make hardnested the same as nested,https://github.com/RfidResearchGroup/proxmark3/issues/141
2019-4/8,nan,lf t55xx - modulation tests,https://github.com/RfidResearchGroup/proxmark3/issues/149
2019-4/11,2019-4/15,Proxmark3 legic sim issue,https://github.com/RfidResearchGroup/proxmark3/issues/156
2019-4/16,2019-4/30,FPC - adapt timeout,https://github.com/RfidResearchGroup/proxmark3/issues/159
2019-4/16,2019-5/1,FPC - Variable length of usb-command packages,https://github.com/RfidResearchGroup/proxmark3/issues/160
2019-4/17,2019-4/17,[idea] Appveyor release include dlls,https://github.com/RfidResearchGroup/proxmark3/issues/164
2019-4/17,2019-4/17,`emv test` Segmentation fault,https://github.com/RfidResearchGroup/proxmark3/issues/166
2019-4/20,2019-7/16,Fix APDU length in emvcore - excessive Lc with no data packet,https://github.com/RfidResearchGroup/proxmark3/issues/171
2019-4/24,2019-4/25,util.c:871:20: error: use of undeclared identifier - OS X ,https://github.com/RfidResearchGroup/proxmark3/issues/173
2019-4/25,2019-4/25,Build error on macOS 10.14.4,https://github.com/RfidResearchGroup/proxmark3/issues/174
2019-5/1,2019-5/1,hf mf chk - showing res 1 for known invalid keys,https://github.com/RfidResearchGroup/proxmark3/issues/177
2019-5/2,2019-5/2,Menaing of bootrom: dirty,https://github.com/RfidResearchGroup/proxmark3/issues/180
2019-5/2,2019-9/13,Degraded or Non-Functional Write Performance for Some T5577 Credentials,https://github.com/RfidResearchGroup/proxmark3/issues/182
2019-5/2,2019-9/13,"""hf iclass clone"" Results in Write Failure for Last Block",https://github.com/RfidResearchGroup/proxmark3/issues/183
2019-5/5,2019-5/6,Compile error ,https://github.com/RfidResearchGroup/proxmark3/issues/185
2019-5/10,2019-5/16,"Proxmark client stuck at ""[=] Communicating with PM3 over USB-CDC"" for 10-15 minutes",https://github.com/RfidResearchGroup/proxmark3/issues/188
